S.No.,Breadth(a),Breadth(b),mean width,Original Width
0,36.27437495,37.33270829,73.60708324000001,3.09
1,39.42291662,38.68208328,78.1049999,3.17
2,34.95145829,34.50166662,69.45312491,3.03
3,34.52812496,33.60208329,68.13020825000001,3.09
4,39.13187495,35.00437496,74.13624991,3.35
5,33.46979162,34.02541662,67.49520824000001,3.04
6,32.99354163,33.60208329,66.59562492,2.91
7,36.72416662,36.40666662,73.13083324,3.07
8,36.38020829,37.33270829,73.71291658,3.16
9,37.33270829,36.35374995,73.68645824000001,3.3
10,36.85645829,36.82999995,73.68645824000001,3.29
11,37.06812495,38.57624995,75.6443749,3.28
12,37.80895829,36.14208329,73.95104158000001,3.05
13,36.72416662,37.30624995,74.03041657,3.18
14,37.72958329,39.15833328,76.88791657,3.2
15,35.00437496,35.42770829,70.43208325,3.05
16,33.12583329,33.12583329,66.25166658,3.1
17,40.82520828,41.51312495,82.33833322999999,3.49
18,35.90395829,36.85645829,72.76041658,3.17
19,36.85645829,39.60812495,76.46458324,3.37
20,34.50166662,33.12583329,67.62749991000001,2.97
21,35.45416662,34.50166662,69.95583324,2.98
22,33.91958329,32.96708329,66.88666658,3.24
23,36.30083329,35.00437496,71.30520824999999,3.16
24,32.67604163,32.64958329,65.32562492,2.84
25,39.15833328,40.56062495,79.71895823,3.34
26,38.57624995,36.82999995,75.4062499,3.21
27,36.35374995,37.30624995,73.6599999,3.23
28,33.60208329,32.64958329,66.25166658,2.75
29,39.66104162,38.70854162,78.36958324,3.24
30,35.93041662,38.33812495,74.26854157,3.2
31,31.98812496,34.07833329,66.06645825000001,2.95
32,35.90395829,34.52812496,70.43208325,2.82
33,32.17333329,34.52812496,66.70145825,2.97
34,36.82999995,36.85645829,73.68645824000001,3.12
35,38.70854162,37.33270829,76.04124991,3.12
36,32.19979163,34.07833329,66.27812492000001,2.87
37,34.52812496,36.38020829,70.90833325,3.15
38,36.85645829,35.00437496,71.86083325,3.41
39,33.33749996,36.38020829,69.71770825,3.09
40,33.57562496,36.16854162,69.74416658,3.0
41,36.22145829,37.27979162,73.50124991,3.03
42,37.04166662,37.70312495,74.74479157,3.18
43,34.55458329,37.75604162,72.31062491,2.93
44,32.19979163,32.64958329,64.84937492,3.07
45,38.12645829,38.09999995,76.22645824,3.36
46,33.12583329,32.62312496,65.74895825,2.85
47,36.38020829,38.73499995,75.11520824,3.17
48,34.07833329,34.02541662,68.10374991,3.01
49,38.25874995,37.78249995,76.0412499,3.19
50,34.39583329,36.82999995,71.22583324,2.98
51,38.02062495,37.62374995,75.6443749,3.14
52,36.38020829,35.93041662,72.31062491,3.16
53,33.12583329,34.05187496,67.17770825,3.03
54,35.45416662,36.85645829,72.31062491,3.11
55,31.72354163,31.69708329,63.420624919999995,2.97
56,36.88291662,36.82999995,73.71291657,3.28
57,36.40666662,35.29541662,71.70208324000001,3.21
58,32.99354163,33.94604162,66.93958325,3.09
59,34.05187496,33.04645829,67.09833325,3.05
60,38.12645829,38.70854162,76.83499991,3.21
61,34.05187496,35.42770829,69.47958324999999,3.05
62,34.50166662,33.46979162,67.97145824,3.23
63,35.69229162,36.38020829,72.07249991,3.02
64,37.20041662,38.60270828,75.8031249,3.03
65,39.18479162,36.82999995,76.01479157,3.47
66,36.40666662,35.21604162,71.62270824000001,3.16
67,34.55458329,33.60208329,68.15666658,2.98
68,38.20583329,36.32729162,74.53312491,3.35
69,35.45416662,35.77166662,71.22583324,2.97
70,34.50166662,34.02541662,68.52708324,3.01
71,39.18479162,38.92020828,78.1049999,3.21
72,36.27437495,35.45416662,71.72854157,3.01
73,37.09458329,36.38020829,73.47479158,3.27
74,32.96708329,33.54916662,66.51624991,2.88
75,35.93041662,36.85645829,72.78687491,3.08
76,39.50229162,39.97854162,79.48083324000001,3.22
77,35.93041662,34.36937496,70.29979158,3.39
78,29.89791663,29.42166663,59.31958326,2.9
79,33.94604162,36.16854162,70.11458324,2.76
80,34.73979162,35.34833329,70.08812491,3.35
81,33.15229162,34.52812496,67.68041658,3.17
82,32.67604163,31.30020829,63.97624992,3.24
83,35.48062496,34.97791662,70.45854158,2.85
84,36.38020829,36.61833329,72.99854158,3.05
85,39.71395828,40.56062495,80.27458322999999,3.24
86,34.47520829,35.00437496,69.47958324999999,3.21
87,35.71874996,37.72958329,73.44833324999999,3.18
88,37.75604162,37.75604162,75.51208324,3.11
89,35.42770829,35.93041662,71.35812491,3.17
90,33.33749996,33.84020829,67.17770825,3.13
91,36.85645829,36.85645829,73.71291658,3.15
92,32.17333329,32.64958329,64.82291658,2.87
