S.No.,Cocoon Weight (gm),Cocoon length(cm),mean width(cm),Cross sectional Area (cm2),Cocoon Volume (cm3),Shell Weight (gm),Category
1,9.35,5.01,3.01,22.14,24.7,1.45,Daba RC II
2,2.87,5,3.01,22.16,25.3,1.17,Daba RC III
3,8.44,5.02,3.01,22.22,25.8,1.33,Daba RC II
4,12.87,5.16,3.03,22.79,31.4,1.77,Daba RC I
5,11.28,5,3.13,23.29,29,1.44,Daba RC II
6,3.13,5.12,2.95,21.94,25,1.29,Daba RC II
7,12.48,5.2,3.08,23.41,30.3,1.38,Daba RC II
8,8.76,5,3.04,22.41,28.1,1.43,Daba RC II
9,12.62,5.55,3.4,27.94,36,2.04,Daba RC I
10,10.79,5,3.02,22.26,26.1,2.04,Daba RC I
11,13.28,5.75,3.23,26.76,37.5,2.03,Daba RC I
12,9.53,5.1,3.02,22.51,26.1,1.5,Daba RC II
13,11.07,5.48,3.48,28.58,34,2.11,Daba RC I
14,12.63,5.4,3.26,25.95,32.6,1.76,Daba RC I
15,11.85,5.95,3.38,29.08,37.5,1.97,Daba RC I
16,12.74,5.18,3.16,24.21,29,1.53,Daba RC II
17,9.77,4.8,2.89,20.43,23.2,1.78,Daba RC I
18,9.07,4.82,2.9,20.53,23,1.28,Daba RC II
19,7.52,4.52,2.85,19.21,21,1.07,Daba RC III
20,4.03,5.12,3.17,24.07,31,1.76,Daba RC I
21,3.12,4.8,3.09,22.28,23.3,1.14,Daba RC III
22,9.86,4.9,2.97,21.48,26.5,1.54,Daba RC II
23,8.92,4.58,2.92,20.02,22.4,1.42,Daba RC II
24,10.57,4.89,3.1,22.7,28.2,1.16,Daba RC III
25,10.35,5.14,2.95,21.99,27.2,1.68,Daba RC I
26,4.09,4.7,3.13,22.35,24.8,1.34,Daba RC II
27,12.76,5.3,3.22,25.21,31.4,1.73,Daba RC I
28,11.88,4.89,3.07,22.41,28.1,1.47,Daba RC II
29,11.54,5.09,3.18,24.12,31.3,1.35,Daba RC II
30,13,5.21,3.36,26.37,33.3,1.47,Daba RC II
31,13.87,5.6,3.38,27.9,37.9,2.15,Daba RC I
32,11.2,5.71,3.37,28.1,34.6,1.44,Daba RC II
33,9.38,5.05,3.04,22.61,30.9,1.48,Daba RC II
34,8.55,4.98,3.26,24.58,28.7,1.2,Daba RC III
35,13.52,5.32,3.28,25.84,31.7,1.52,Daba RC II
36,12.85,5.22,3.38,26.61,32.9,1.91,Daba RC I
37,9.88,4.98,2.99,21.91,26.1,1.66,Daba RC I
38,12.21,5.42,3.29,26.28,27.5,1.34,Daba RC II
39,8.55,4.68,2.96,20.68,19.6,0.8,Other
40,14.28,5.28,3.15,24.37,31.2,1.6,Daba RC I
41,11.57,4.9,3.17,23.37,28.6,1.43,Daba RC II
42,13.38,4.9,3.27,24.42,32.5,1.83,Daba RC I
43,4.7,5.2,3.21,24.78,28.8,2.16,Daba RC Super
44,7.97,4.65,3,20.97,23.1,1.13,Daba RC III
45,8.81,5.3,3.12,24.13,30.5,1.3,Daba RC II
46,12.32,5.54,3.76,31.93,33.6,1.85,Daba RC I
47,13.39,5.33,3.21,25.15,32.8,1.82,Daba RC I
48,13.03,5.6,3.25,26.49,37.9,2.01,Daba RC I
49,15.67,5.88,3.51,30.31,44.5,2.38,Daba RC Super
50,11.46,5,3.15,23.49,28.6,1.48,Daba RC II
51,8.65,4.92,2.99,21.73,24.7,1.32,Daba RC II
52,9.49,4.62,3.06,21.44,24.5,1.74,Daba RC I
53,10.36,5.1,3.11,23.45,28.9,1.65,Daba RC I
54,11.61,5.15,3.37,26.27,35.1,1.99,Daba RC I
55,13.14,5.25,3.19,24.68,32.8,2,Daba RC I
56,8.81,4.78,2.91,20.56,22.6,1.41,Daba RC II
57,9.73,4.61,3.14,22.17,24.9,1.35,Daba RC II
58,9.78,5,3.15,23.54,24.8,1.61,Daba RC I
59,11.03,5.08,3.03,22.55,28.1,1.31,Daba RC II
60,12.2,5.25,3.43,27.24,34.1,1.75,Daba RC I
61,5.18,5.82,2.98,24.26,23.9,1.57,Daba RC I
62,12.13,5,3.15,23.54,28,1.8,Daba RC I
63,9.45,4.65,3.08,21.77,27.6,1.48,Daba RC II
64,8.68,4.8,2.93,20.8,24,1.46,Daba RC II
65,7.94,5.6,3.3,27.03,37.8,1.86,Daba RC I
66,3.39,4.86,2.89,20.55,26.1,1.71,Daba RC I
67,12.52,5.02,3.17,23.75,30.7,2.22,Daba RC Super
68,7.84,4.85,3.05,22.09,26.7,1,Daba RC III
69,12.72,5.1,3.18,24.16,32.2,1.46,Daba RC II
70,10.99,5.22,3.31,25.83,33.8,1.82,Daba RC I
71,14.62,5.72,3.24,26.72,37,2.34,Daba RC Super
72,10.25,4.98,3,22.01,27.1,1.53,Daba RC II
73,15.3,5.35,3.36,26.84,35.3,2.46,Daba RC Super
74,9.21,4.82,2.96,21.15,25,1.68,Daba RC I
75,14.2,5.45,3.29,26.37,32.6,1.93,Daba RC I
76,8.74,5.04,2.86,20.79,24.3,1.32,Daba RC II
77,12.56,5.05,3.23,24.5,30.8,1.58,Daba RC I
78,15.1,5.65,3.35,27.68,37.6,2.44,Daba RC Super
79,5.89,5.3,3.19,24.84,34.4,1.64,Daba RC I
80,12.42,5.25,3.55,28.48,36.2,1.8,Daba RC I
81,9.97,4.9,3.12,22.93,25.9,1.62,Daba RC I
82,7.27,4.35,2.64,16.91,19.8,0.97,Daba RC III
83,7.84,5.4,3.18,25.06,34,1.5,Daba RC II
84,5.88,4.9,2.74,19.27,21,1.17,Daba RC III
85,9.22,4.98,2.88,20.85,24.8,1.32,Daba RC II
86,11.15,5.2,3.34,26.13,35.1,1.82,Daba RC I
87,11.82,5.25,3.08,23.62,31.6,1.78,Daba RC I
88,11.28,5.24,3.15,24.3,32.7,1.55,Daba RC I
89,9.3,4.98,2.98,21.76,26.6,1.75,Daba RC I
90,8.8,4.95,2.82,20.2,22.7,1.28,Daba RC II
91,10.96,4.8,2.98,21.23,25.8,1.34,Daba RC II
92,10.12,4.97,3.12,23.1,29.2,1.75,Daba RC I
93,4,5.14,2.9,21.51,27.8,1.63,Daba RC I
94,9.5,5,2.71,19.32,22.8,1.56,Daba RC I
95,10.75,5.08,3.05,22.75,28.3,1.42,Daba RC II
