                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.31428,                0.26724,                 1.3348,                0.85689,                0.99776,                      1,                  0.995,                0.94389,                0.99776,                      1,                  0.995,                  0.995,                0.35968,                0.29749,                 2.0601,                0.86427,                 0.0004,                 0.0004,                 0.0004
                      2,                0.30862,                 0.2596,                  1.066,                0.85309,                0.99918,                      1,                  0.995,                 0.9354,                0.99918,                      1,                  0.995,                0.98463,                0.39183,                0.44175,                 1.3364,                0.96237,             0.00073882,             0.00073882,             0.00073882
                      3,                0.32788,                0.25083,                0.90539,                0.85348,                0.99921,                      1,                  0.995,                0.93011,                0.99921,                      1,                  0.995,                0.86001,                0.36549,                 2.4956,                 0.8473,                0.88001,             0.00099448,             0.00099448,             0.00099448
                      4,                0.30618,                0.25524,                0.80989,                0.84299,                0.99907,                      1,                  0.995,                0.89845,                0.99907,                      1,                  0.995,                0.97818,                0.39213,                0.32728,                0.89227,                0.87735,               0.001167,               0.001167,               0.001167
                      5,                  0.301,                0.24914,                0.73575,                 0.8421,                0.99934,                      1,                  0.995,                0.93154,                0.99934,                      1,                  0.995,                0.99348,                0.35866,                0.27821,                0.70254,                0.86952,               0.001208,               0.001208,               0.001208
                      6,                 0.2864,                  0.245,                0.67226,                0.84321,                0.99937,                      1,                  0.995,                0.95374,                0.99937,                      1,                  0.995,                0.99322,                0.30178,                0.29398,                 0.5721,                0.83233,                0.00101,                0.00101,                0.00101
                      7,                0.25707,                0.23803,                0.61283,                0.82612,                0.99936,                      1,                  0.995,                0.96332,                0.99936,                      1,                  0.995,                  0.995,                0.27845,                0.27085,                0.53707,                0.81952,               0.000812,               0.000812,               0.000812
                      8,                0.24277,                0.23725,                0.55355,                0.82739,                0.99937,                      1,                  0.995,                0.97059,                0.99937,                      1,                  0.995,                  0.995,                0.25515,                0.26115,                0.47704,                0.80259,               0.000614,               0.000614,               0.000614
                      9,                0.22982,                0.23243,                0.52221,                0.81051,                0.99938,                      1,                  0.995,                 0.9736,                0.99938,                      1,                  0.995,                  0.995,                0.25034,                0.25971,                0.44949,                0.79848,               0.000416,               0.000416,               0.000416
                     10,                0.20747,                0.22836,                0.47996,                0.80103,                0.99936,                      1,                  0.995,                0.98851,                0.99936,                      1,                  0.995,                  0.995,                 0.2306,                0.25872,                0.42999,                0.79341,               0.000218,               0.000218,               0.000218
